trial,n_rectangles,grid_size,ilp_score,guillotine_score,ratio,ilp_time,guillotine_time,ilp_status,guillotine_status
1,46,92,12,12,1.0000,0.0845,13.6759,ok,ok
2,48,96,13,13,1.0000,0.2058,22.7808,ok,ok
3,48,96,9,9,1.0000,0.2402,11.4778,ok,ok
4,44,88,13,13,1.0000,0.0485,12.8832,ok,ok
5,45,90,14,14,1.0000,0.0686,10.0357,ok,ok
6,48,96,12,12,1.0000,0.1388,15.9276,ok,ok
7,48,96,13,13,1.0000,0.0878,16.7441,ok,ok
8,40,80,13,13,1.0000,0.0168,6.6347,ok,ok
9,45,90,13,13,1.0000,0.0701,8.3675,ok,ok
10,50,100,11,11,1.0000,0.1666,21.9648,ok,ok
11,45,90,13,13,1.0000,0.0401,13.3230,ok,ok
12,46,92,12,12,1.0000,0.1044,15.3479,ok,ok
13,44,88,12,12,1.0000,0.0555,9.4403,ok,ok
14,40,80,12,12,1.0000,0.0290,5.9423,ok,ok
15,42,84,10,10,1.0000,0.0813,8.8092,ok,ok
16,50,100,13,12,1.0833,0.3063,21.7833,ok,ok
17,46,92,13,13,1.0000,0.0631,13.4337,ok,ok
18,44,88,14,14,1.0000,0.0232,14.2872,ok,ok
19,50,100,12,12,1.0000,0.1596,19.0190,ok,ok
20,48,96,13,13,1.0000,0.0775,21.8930,ok,ok
21,48,96,13,12,1.0833,0.1888,31.7619,ok,ok
22,43,86,13,13,1.0000,0.0214,10.9242,ok,ok
23,50,100,12,12,1.0000,0.2059,21.2059,ok,ok
24,42,84,10,10,1.0000,0.0668,6.4181,ok,ok
25,50,100,13,13,1.0000,0.1511,30.3684,ok,ok
26,46,92,12,12,1.0000,0.1573,12.6251,ok,ok
27,41,82,10,10,1.0000,0.0705,8.1956,ok,ok
28,48,96,14,14,1.0000,0.0526,29.4606,ok,ok
29,47,94,15,14,1.0714,0.0446,32.5524,ok,ok
30,44,88,12,12,1.0000,0.0525,17.6610,ok,ok
31,48,96,14,13,1.0769,0.0696,26.9701,ok,ok
32,41,82,12,12,1.0000,0.0338,13.6698,ok,ok
33,43,86,12,12,1.0000,0.0354,20.8965,ok,ok
34,49,98,12,12,1.0000,0.1929,30.8028,ok,ok
35,45,90,12,12,1.0000,0.1097,22.7536,ok,ok
36,41,82,12,12,1.0000,0.0421,10.5048,ok,ok
37,50,100,12,12,1.0000,0.4364,34.2300,ok,ok
38,49,98,12,12,1.0000,0.3927,33.4086,ok,ok
39,41,82,12,12,1.0000,0.0397,12.5712,ok,ok
40,41,82,11,11,1.0000,0.0429,10.9953,ok,ok
41,46,92,11,11,1.0000,0.2642,10.7962,ok,ok
42,41,82,12,12,1.0000,0.0517,8.9246,ok,ok
43,43,86,12,12,1.0000,0.0809,20.5834,ok,ok
44,46,92,14,13,1.0769,0.0468,34.4428,ok,ok
45,41,82,10,10,1.0000,0.0729,9.1605,ok,ok
46,42,84,11,11,1.0000,0.0642,9.6908,ok,ok
47,48,96,13,12,1.0833,0.1389,41.1786,ok,ok
48,48,96,12,12,1.0000,0.1901,38.4101,ok,ok
49,47,94,11,11,1.0000,0.1540,31.4379,ok,ok
50,46,92,12,12,1.0000,0.1599,35.7898,ok,ok
