trial,n_rectangles,grid_size,ilp_score,local_score,ratio,ilp_time,local_time,status
1,51,102,11,10,1.1000,0.1896,0.0123,OK
2,75,150,14,14,1.0000,4.6740,0.0071,OK
3,43,86,13,13,1.0000,0.0461,0.0071,OK
4,87,174,-,13,-,60.0203,0.0077,ILP_TO
5,70,140,12,10,1.2000,11.0717,0.0070,OK
6,51,102,12,11,1.0909,0.3962,0.0070,OK
7,60,120,14,12,1.1667,0.7482,0.0070,OK
8,88,176,15,13,1.1538,32.2525,0.0079,OK
9,84,168,-,14,-,60.0167,0.0100,ILP_TO
10,64,128,12,11,1.0909,2.8706,0.0083,OK
11,86,172,-,15,-,60.0095,0.0106,ILP_TO
12,97,194,-,17,-,60.0174,0.0090,ILP_TO
13,40,80,12,10,1.2000,0.0250,0.0072,OK
14,50,100,11,11,1.0000,0.5218,0.0079,OK
15,81,162,-,14,-,60.0090,0.0075,ILP_TO
16,96,192,-,13,-,60.0182,0.0082,ILP_TO
17,97,194,-,15,-,60.0206,0.0079,ILP_TO
18,89,178,-,13,-,60.0232,0.0085,ILP_TO
19,56,112,13,12,1.0833,0.4964,0.0069,OK
20,57,114,13,13,1.0000,0.6985,0.0073,OK
21,66,132,12,12,1.0000,2.0026,0.0076,OK
22,93,186,-,14,-,60.0159,0.0073,ILP_TO
23,82,164,17,17,1.0000,18.7341,0.0083,OK
24,90,180,15,14,1.0714,50.1429,0.0078,OK
25,82,164,14,13,1.0769,12.6632,0.0077,OK
26,50,100,13,13,1.0000,0.0863,0.0081,OK
27,95,190,16,14,1.1429,43.3807,0.0085,OK
28,67,134,13,13,1.0000,2.2788,0.0073,OK
29,97,194,-,16,-,60.0238,0.0075,ILP_TO
30,40,80,14,13,1.0769,0.0162,0.0080,OK
31,70,140,16,15,1.0667,1.5400,0.0071,OK
32,66,132,15,13,1.1538,0.9826,0.0071,OK
33,63,126,12,10,1.2000,2.4221,0.0067,OK
34,49,98,12,12,1.0000,0.3059,0.0085,OK
35,83,166,-,14,-,60.0146,0.0071,ILP_TO
36,52,104,14,13,1.0769,0.1938,0.0074,OK
37,90,180,-,12,-,60.0082,0.0086,ILP_TO
38,52,104,12,11,1.0909,0.3475,0.0071,OK
39,45,90,11,11,1.0000,0.0770,0.0066,OK
40,64,128,13,13,1.0000,2.8071,0.0068,OK
41,91,182,-,13,-,60.0137,0.0071,ILP_TO
42,82,164,13,12,1.0833,49.9014,0.0077,OK
43,52,104,14,14,1.0000,0.1612,0.0078,OK
44,49,98,12,12,1.0000,0.2520,0.0072,OK
45,55,110,13,11,1.1818,0.2141,0.0072,OK
46,92,184,18,17,1.0588,31.3763,0.0074,OK
47,90,180,-,15,-,60.0155,0.0086,ILP_TO
48,86,172,15,14,1.0714,53.2637,0.0071,OK
49,66,132,13,12,1.0833,3.9894,0.0070,OK
50,74,148,16,16,1.0000,8.4755,0.0070,OK
